book_id,book_title,book_author,publication_year,classification_level_1,classification_level_2,classification_level_3
1,"""1900.6b-2022 - IEEE Standard for Spectrum Sensing Interfaces and Data Structures for Dynamic Spectrum Access and Other Advanced Radio Communication Systems Amendment 2 : Spectrum Database Interfaces"" ","Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Technology,Engineering & allied operations,Applied physics
2,"""2022 10th International Conference on Affective Computing and Intelligent Interaction (ACII) : 18-21 Oct. 2022 ","ACII (Conference), author, issuing body.",2022,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
3,"""8802-1BA-2023 - ISO/IEC/IEEE International Standard--Information technology -- Telecommunications and information exchange between systems -- Local and metropolitan area networks -- Specific requirements -- Part 1BA : Audio video bridging (AVB) systems"" ","IEEE, author.",2021,Technology,Engineering & allied operations,Applied physics
4,"""A subtle and mysterious machine"" : the medical world of Walter Charleton (1619-1707) ","Booth, Emily.",2005,Technology,Medicine & health,Medicine & health
5,"""C62.82.2-2022 - IEEE Guide for the Application of Insulation Coordination"" ","IEEE, author.",2023,Technology,Engineering & allied operations,Applied physics
6,"""I'm sorry for what I've done"" : the language of courtroom apologies ","Gruber, M. Catherine, 1967- author.",2014,Social sciences,Law,Criminal law
7,"""The truest form of patriotism"" pacifist feminism in Britain, 1870-1902 ","Brown, Heloise.",2003,Social sciences,"Social sciences, sociology & anthropology",Social groups
8,"(Almost) impossible integrals, sums, and series ","Va?lean, Cornel Ioan, author.",2019,Natural Sciences and Mathemetics,Mathematics,Analysis
9,(Mis)trusting development : social struggles and forest conservation in Guatemala ,"Ystanes, Margit, author.",2021,Social sciences,Economics,Economics of land & energy
10,[Gamma]-convergence for beginners,"Braides, Andrea.",2002,Natural Sciences and Mathemetics,Mathematics,Analysis
11,10 minute guide to : business research on the net ,"Pack, Thomas.",1997,Technology,Management & auxiliary services,General management
12,10 year strategy : March 1991 ,Grampian Health Board.,1991,Social sciences,Social problems & services; associations,Social welfare problems & services
13,100 questions & answers about ovarian cancer ,"Dizon, Don S.",2004,Technology,Medicine & health,Diseases
14,100% evil ,"Blechman, Nicholas.",2005,The arts; fine & decorative arts,Drawing & decorative arts,Drawing & drawings by subject
15,1000 decorative plants ,"Krempin, J. L.",1983,Natural Sciences and Mathemetics,Plants (Botany),Specific topics in natural history
16,1000 pictures for teachers to copy ,"Wright, Andrew.",1984,The arts; fine & decorative arts,Drawing & decorative arts,Drawing & drawings
17,1001 facts : a pocket guide to BT 1991 ,BT Group.,1991,Social sciences,"Commerce, communications & transportation",Communications; telecommunication
18,101 ethical dilemmas ,"Cohen, Martin, 1964-",2003,Philosophy & psychology,Ethics,Ethics
19,101 things you didn't know about Da Vinci : the secrets of the world's most eccentric and innovative genius revealed! ,"Priwer, Shana.",2005,The arts; fine & decorative arts,Arts,"Historical, geographic & persons treatment"
20,1013-2019 - IEEE Std 1013-2019 (Revision of IEEE Std 1013-2007) ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2019,Technology,Engineering & allied operations,Applied physics
21,1048a-2021 - IEEE guide for protective grounding of power lines - amendment 1 ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
22,"10th IET System Safety and Cyber-Security Conference 2015 : 21-22 October 2015, Bristol, UK ","IET System Safety and Cyber Security Conference Bristol, England) 2015 : (10th :",2016,Technology,Engineering & allied operations,Engineering & allied operations
23,"10th International Conference on Advances in Power System Control, Operation & Management (APSCOM 2015) : 8-12 November 2015, Hong Kong, China ","International Conference on Advances in Power System Control, Operation & Management Hong Kong, China) 2015 : (10th :",2017,Technology,Engineering & allied operations,Applied physics
24,"10th International Conference on Electricity Distribution [8-12 May 1989, venue, Brighton Centre, Brighton, UK] : CIRED 1989.","International Conference on Electricity Distribution Brighton, England) 1989 : (10th :; International Conference on Electricity Distribution Corporate Author",1989,Technology,Engineering & allied operations,Applied physics
25,"10th International Conference on Information, Intelligence, Systems and Applications (IISA) ","Institute of Electrical and Electronics Engineers, author, issuing body.",2019,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
26,"10th International Symposium on Asynchronous Circuits and Systems : proceedings : 19-23 April, Crete, Greece","International Symposium on Asynchronous Circuits and Systems Crete, Greece) 2004 : (10th :; International Symposium on Asynchronous Circuits and Systems Corporate Author",2004,Technology,Engineering & allied operations,Applied physics
27,10th International Symposium on Electrets Proceedings 1999,"International Symposium on Electrets European Cultural Centre of Delphi) 1999 : (10th :; IEEE, Society Staff Corporate Author",1999,Natural Sciences and Mathemetics,Physics,Electricity & electronics
28,10th International Symposium on High-Temperature Metallurgical Processing ,"International Symposium on High-Temperature Metallurgical Processing San Antonio, Tex.) 2019 : (10th :",2019,Technology,Engineering & allied operations,Engineering & allied operations
29,"10th Workshop on Fault Diagnosis and Tolerance in Cryptography : 20 August 2013, Santa Barbara, California ","Workshop on Fault Diagnosis and Tolerance in Cryptography Santa Barbara, Calif.) 2013 : (10th :",2013,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
30,11073-10415-2022 - IEEE/ISO International Standard--Health informatics--Device interoperability.,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Natural Sciences and Mathemetics,Life sciences; biology,Life sciences; biology
31,11073-10472-2023 : IEEE Standard for Health Informatics--Device Interoperability--Part 10472: Personal Health Device Communication--Device Specialization--Medication Monitor ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,Technology,Medicine & health,Medicine & health
32,1193-2022 - IEEE Guide for Measurement of Environmental Sensitivities of Standard Frequency Generators ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,Natural Sciences and Mathemetics,Astronomy & allied sciences,"Techniques, equipment & materials"
33,"11th [IEEE] International Conference Information Visualization : IV 2007 : [proceedings] : 4-6 July 2007, Zurich, Switzerland","IEEE International Conference on Information Visualization Zurich, Switzerland) 2007 : (11th :; IEEE International Conference on Information Visualization Corporate Author",2007,"Computer science, information & general works","Computer science, knowledge & systems",Knowledge
