program_id,program_name,program_description,program_keywords,program_link
1,27th Aberdeen Scout Group,"Scouting exists to actively engage and support young people in their personal development, empowering them to make a positive contribution to society.","Scouting, Youth Development, Empowerment, Society",https://www.rguunion.co.uk/volunteering/providers/
2,55th ( Kincorth ) Aberdeen Scout Group,"We are a local Scout Group based in the Kincorth area of Aberdeen , operating from our own scout hall since 1963. Currently we run a Scout troop, a Cub pack and a Beaver colony.","Scout Group, Local, Troop, Cub Pack, Beaver Colony",https://www.rguunion.co.uk/volunteering/providers/
3,Aberdeen Cyrenians,Aberdeen Cyrenians is a local charity and social care services provider supporting some of the most vulnerable people in our community.,"Charity, Social Care, Vulnerable People",https://www.rguunion.co.uk/volunteering/providers/
4,Aberdeen Day Project Ltd t/a The Breadmaker,"The Breadmaker is a social enterprise based in Rosemount Aberdeen . Founded in 2006 , we provide training, development to 24 adults with learning disabilities in our Bakery and Coffee Shop.","Social Enterprise, Bakery, Coffee Shop, Learning Disabilities",https://www.rguunion.co.uk/volunteering/providers/
5,Aberdeen Multicutural Centre,Aberdeen Multicultural Centre (AMC) is dedicated to making a positive impact on the lives of diverse communities in Aberdeen and the North East of Scotland. AMC encourages co-operation and integration,"Diversity, Community Impact, Integration, Co-operation",https://www.rguunion.co.uk/volunteering/providers/
6,Aberlour,We are a charity that offer's a range of services across Scotland. These offer practical and emotional care and support to children and families.,"Charity, Children, Families, Support",https://www.rguunion.co.uk/volunteering/providers/
7,Alzheimer's Research UK,"UK's leading dementia research charity, working to revolutionise the way we treat, diagnose and prevent dementia.","Dementia Research, Charity, Prevention, Diagnosis",https://www.rguunion.co.uk/volunteering/providers/
8,Asthma and Allergy Foundation,"The Asthma and Allergy Foundation is a charity that provides evidence-based health information, confidential advice, and support to people with asthma, their families, and carers across the North East of Scotland so that they or their loved ones with asthma can live healthy, active, and full lives � just like everyone else.","Asthma, Allergy, Health Information, Support",https://www.rguunion.co.uk/volunteering/providers/
9,BEEN THERE,Been There is the only charity helping adults with body image issues and related mental health concerns by connecting them with a Mentor who has �Been There� too.,"Body Image Issues, Mental Health, Mentorship",https://www.rguunion.co.uk/volunteering/providers/
10,Bipolar Scotland,Bipolar Scotland is Scotland's only charity that specialises in supporting those living with Bipolar Disorder. This is done through peer support and helping to guide those through their diagnosis.,"Bipolar Disorder, Peer Support, Guidance",https://www.rguunion.co.uk/volunteering/providers/
11,British Heart Foundation,"Our volunteers help us fund lifesaving science to improve the lives of families and loved ones living with heart and circulatory disease. Volunteering with us is easy, flexible, and inclusive.","Heart Disease, Volunteering, Lifesaving Science",https://www.rguunion.co.uk/volunteering/providers/
12,Cairns Counselling,We provide counselling to adults in need of support. Established as a charity in 1994 we are recipients of the Queens Award for Voluntary Service.,"Counselling, Support, Queen's Award",https://www.rguunion.co.uk/volunteering/providers/
13,Charlie House,"Charlie House is a local�charity which supports babies, children and young people�with complex disabilities and life limiting conditions.�","Disabilities, Children, Support, Charity",https://www.rguunion.co.uk/volunteering/providers/
14,CLAN Cancer Support,"Clan Cancer Support is a well-established, local charity providing emotional and practical support to people affected by cancer, their family, carers and friends.","Cancer Support, Emotional Support, Practical Support",https://www.rguunion.co.uk/volunteering/providers/
15,Community Food Initiatives North East,"CFINE improves health and wellbeing and the environment, tackles poverty and builds resilience through a wide range of support, partnerships and services.","Poverty, Health, Wellbeing, Support Services",https://www.rguunion.co.uk/volunteering/providers/
16,Denis Law Legacy Trust,"Supporting & empowering young people to be confident, capable, independent and responsible citizens within their own communities.","Youth Empowerment, Community Support, Responsibility",https://www.rguunion.co.uk/volunteering/providers/
17,East Grampian Coastal Partnership Ltd,"The EGCP is a conservation not for profit organisation, working to promote the sustainable development and management of the coast between Kinnaird Head and St Cyrus.","Coastal Conservation, Sustainable Development",https://www.rguunion.co.uk/volunteering/providers/
18,Fertility Network UK,Fertility Network Scotland run Your Future Fertility project which aims to speak to students and young people about the 8 wellbeing factors that can impact on fertility. We are part of FNUK.,"Fertility, Wellbeing, Education, Awareness",https://www.rguunion.co.uk/volunteering/providers/
19,Gathimba Edwards Foundation,"Our mission is to provide children in Kenya with an education by supporting school, college & university fees, and support children in Aberdeenshire with severe disabilities with specialist equipment.","Education, Disabilities, Support, Charity",https://www.rguunion.co.uk/volunteering/providers/
20,Harlaw Area Lifelong Learning Association,"The objectives are charitable and include promotion of learning opportunities for people of all ages, abilities and backgrounds to encourage active citizenship and build a better communities.","Lifelong Learning, Community, Citizenship",https://www.rguunion.co.uk/volunteering/providers/
21,Imran Khan Cancer Appeal,"Our Student Ambassadors play a vital role in representing Imran Khan Cancer Appeal at local events, speaking about our work and the importance of the funds our supporters raise.","Cancer Awareness, Student Ambassadors, Fundraising",https://www.rguunion.co.uk/volunteering/providers/
22,Inchgarth Community Centre,"Inchgarth is the busiest, biggest, best resourced, and most successful community centre with a programme of 150 sessions of activity for all ages. Inchgarth is a Queen's award recipient, An MBE","Community Centre, Activities, Award Recipient",https://www.rguunion.co.uk/volunteering/providers/
23,International Voluntary Service,International Voluntary Service (IVS) is the British branch of a worldwide network of like-minded branches and partner organisations supporting the mutual exchange of volunteers to work on projects,"International Volunteering, Mutual Exchange",https://www.rguunion.co.uk/volunteering/providers/
